ID,N,E,C
385,ruske,"pull, shake",rusker - rusket - har rusket
386,rutte med,"work with, to make do on",rutter - ruttet - har ruttet
387,rydde,"clear, tidy",rydder - ryddet - har ryddet
388,rydde av ,"clear away, remove",rydder av - ryddet av - har ryddet av
389,ryke,smoke,ryker - røk - har røket
390,sage,saw,sager - saget (sagde) - har saget (sagd)
391,samarbeide,work together,samarbeider - samarbeidet - har samarbeidet
392,samle,"collect, gather",samler - samlet - har samlet
393,sammenligne,compare,sammenligner - sammenlignet - har sammenlignet
394,savne,miss,savner - savnet - har savnet
395,se,"see, look",ser - så - har sett
396,selge,sell,selger - solgte - har solgt
397,sende,send,sender - sendte - har sendt
398,servere,serve ,serverer - serverte - har servert
399,sette,"place, put, set",setter - satte - har satt
400,si ,say,sier - sa - har sagt
401,sige,"seep, ooze",siger - seg (seig) - har seget
402,sikre,secure,sikrer - sikret - har sikret
403,sikte,aim,sikter - siktet - har siktet
404,sitte,sit,sitter - satt - har sittet
405,sjekke,check,sjekker - sjekket - har sjekket
406,skaffe,"get hold of, obtain",skaffer - skaffet - har skaffet
407,skåne,spare,skåner - skånet - har skånet
408,skape,"create, form",skaper - skapte - har skapt
409,skifte,"change, switch",skifter - skiftet - har skiftet
410,skille,"part, separate",skiller - skilte - har skilt
411,skilles,"seperate, divorse",skilles (skils) - skiltes - har skiltes 
412,skinne,shine,skinner - skinte - har skint
413,skjære,"cut, slice",skjærer - skar - har skåret
414,skje,"happen, occur",skjer - skjedde - har skjedd
415,skjelve,"tremble, shake",skjelver - skalv - har skjelvet
416,skjønne,understand,skjønner - skjønte - har skjønt
417,skjule,"hide, conceal",skjuler - skjulte - har skjult
418,skrape,scrape,skraper - skrapet (skrapte) - har skrapet (skrapt)
419,skremme,"scare, frighten",skremmer - skremte - har skremt
420,skride,"proceed, advance",skrider - skred (skreid) - har skredet (skridd)
421,skrike,"shout, scream",skiker - skreik - har skreket
422,skrive,write,skriver - skrev - har skrevet
423,skru,"screw, spin, twist",skrur - skrudde - har skrudd
424,skrubbe,scrub,skrubber - skrubbet - har skrubbet
425,skryte,boast,skryter - skrøt - har skrytt
426,skulle,shall,skal - skulle - har skullet
427,skutte,"shiver, shake",skutter - skuttet - har skuttet
428,skvette,"sprinkle, splash",skvetter - skvatt - har skvettet
429,skygge,shadow,skygger - skygget (skygde) - har skygget (skygd)
430,skylde,owe,skylder - skyldte - har skyldt
431,skylle,"rinse, wash",skyller - skylte - har skylt
432,skynde,"hurry up, hasten",skynder - skyndte - har skyndt
433,skyte,shoot,skyter - skjøt (skøyt) - har skutt
434,skyve,"push, shove",skyver - skjøv - har skjøvet
435,slå,beat,slår - slo - har slått
436,slappe av,relax,slapper av - slappet av - har slappet av
437,slåss,fight ,slåss - sloss - har slåss
438,slenge,throw,slenger - slengte (slang) - har slengt
439,slette,"level, smooth; erase",sletter - slettet - har slettet
440,slipe,"grind, sharpen",sliper - slipte - har slipt
441,slippe,"let go of, drop",slipper - slapp - har sluppet
442,slite,"struggle, work hard; pull, tear",sliter - slet (sleit) - har slitt
443,slutte,stop,slutter - sluttet - har sluttet
444,smake,taste,smaker - smaket (smakte) - har smaket (smakt)
445,smelle,"bang, crack, snap",smeller - smelte - har smelt
446,smelte,melt,smelter - smeltet - har smeltet
447,smette,slip,smetter - smatt - har smettet
448,smile,smile,smiler - smilte - har smilt
449,sminke,apply make up,sminker - sminket - har sminket
450,smitte,infect,smitter - smittet - har smittet
451,smøre,"oil, lubricate",smører - smurte - har smurt
452,smyge,"steal, creep",smyger-smøg-har smøget
453,snakke,"speak, talk",snakker - snakket - har snakket
454,snegle,move slowly,snegler - sneglet - har sneglet
455,snike,sneak,sniker - snek - har sneket
456,snø,snow,snør - snødde - har snødd
457,snu,turn back (around),snur - snudde - har snudd
458,snyte,"cheat,swindle",snyter - snøt - har snytt
459,søke,"apply, seek",søker - søkte - har søkt
460,søle,"dirt, mess, spill",søler - sølte - har sølt
461,sørge,grieve,sørger - sørget (sørgde) - har sørget (sørgd)
462,sove,sleep,sover - sov - har sovet
463,sovne,fall asleep,sovner - sovnet - har sovnet
464,spandere,stand treat; spend,spanderer - spanderte - har spandert
465,spare,"save, be economical",sparer - sparte - har spart
466,sparke,kick,sparker - sparket - har sparket
467,spikre,nail,spikrer - spikret - har spikret
468,spille,play (game),spiller - spilte - har spilt
469,spinne,spin,spinner - spant - har spunnet
470,spise,eat,spiser - spiste - har spist
471,spleise,splice,spleiser - spleiste (spleiset) - har spleist (spleiset)
472,spøke,"haunt, make a joke",spøker - spøkte - har spøkt
473,spørre,"ask, inquire",spør - spurte - har spurt
474,sprekke,"crack, burst",sprekker - sprakk - har sprukket
475,sprette,"leap, bounce",spretter - spratt - har sprettet
476,springe,"run; jump, leap",springer - sprang - har sprunget
477,stå,stand,står - stod - har stått
478,stappe,"stuff, cram",stapper - stappet - har stappet
479,starte,start,starter - startet - har startet
480,stave,spell,staver - stavet - har stavet
481,steke,fry,steker - stekte - har stekt
482,stelle,"care for, nurse; manage",steller - stelte - har stelt
483,stemme,vote; agree; tune,stemmer - stemte - har stemt
484,stenge,"close, block",stenger - stengte - har stengt
485,stevne,summon,stevner - stevnet - har stevnet
486,stige,"rise, increase; climb",stiger - steg (steig) - har steget
487,stikke,"stick in, run away",stikker - stakk - har stukket
488,stille,"put, place; satisfy",stiller - stilte - har stilt
489,stirre,"stare, gaze",stirrer - stirret - har stirret
490,stjele,steal,stjeler - stjal - har stjålet
491,stole,"rely, trust",stoler - stolte - har stolt
492,stoppe,stop,stopper - stoppet - har stoppet
493,strekke,strech; expand,streker - strakk - har strukket
494,stri,struggle; conflict,strir - stred - har stridd
495,strikke,knit,strikker - strikket - har strikket
496,strupe,choke,struper - strupte - har strupt
497,stryke,"delete, erase; stroke; fail",stryker - strøk - har strøket
498,stryke,iron (clothes),stryker - strøk - har strøket
499,studere,study; wonder,studerer - studerte - har studert
500,stykke,"split, cut",stykker - stykket - har stykket
501,suge,suck; absorb,suger - suget (sugde) - har suget (sugd)
502,sulte,starve,sulter - sultet - har sultet
503,suspendere,suspend,suspenderer - suspenderte - har suspendert
504,svare,"answer, reply",svarer - svarte - har svart
505,sverge,swear,sverger - sverget (svor) -  har svoret
506,svi,"burn, sting",svir - sved - har svidd
507,svike,"deceive, disappoint",sviker - svek - har sveket
508,svinge,swing,svinger - svingte - har svingt 
509,svømme,swim,svømmer - svømte - har svømt
510,sy,sew,syr - sydde - har sydd
511,sykle,cycle,sykler - syklet - har syklet
512,synes,"think (mean), seem",synes - syntes - har synes
513,synge,sing,synger - sang - har sunget
514,synke,sink,synker - sank - har sunket
515,ta,take,tar - tok - har tatt
516,takke,thank,takker - takket - har takket
517,takle,"cope, deal with",takler - taklet - har taklet
518,tape,"lose (sports, money)",taper - tapte - har tapt
519,tappe,tap (drain liquid),tapper - tappet - har tappet
520,telle,count,teller - talte - har talt
521,tenke,"think, suppose",tenker - tenkte - har tenkt
522,tenne,"light, ignite",tenner - tente - har tent
523,tigge,beg,tigger -  tagg (tigde) - har tigget (tigd)
524,tilby,offer,tilbyr - tilbød - har tilbudt
525,tilfredsstille,satisfy,tilfredsstiller - tilfredsstilte - har tilfredsstilt
526,tilhøre,"belong to, be a member of",tilhører - tilhørte - har tilhørt
527,tilpasse,"customize, adapt",tilpasser - tilpasset - har tilpasset
528,tilstå,confess,tilstår - tilsto - har tilstått
529,tiltale,"address, speak to",tiltaler - tiltalte - har tiltalt
530,tjene,"serve, make money",tjener - tjente - har tjent
531,tolke,interpret,tolker - tolket - har tolket
532,tømme,"empty, drain",tømmer - tømte - har tømt
533,tore,dare,tør - torde - har tort
534,tørke,dry,tørker - tørket - har tørket
535,tørste,thirst for,tørster - tørstet - har tørstet
536,torturere,torture,torturerer - torturerte - har torturert
537,tre,thread; step,trer - trådte - har trådt
538,treffe,"meet, hit",treffer - traff - har truffet
539,trekke,pull; draw; drag,trekker - trakk - har trukket
540,trene,"train, practice",trener - trente - har trent
541,trenge ,need,trenger - trengte - har trengt
542,trille,"roll, wheel",triller - trillet - har trillet
543,trive,"catch up, grab",triver - trev (treiv) - har trevet (trivd)
544,trives,"flourish, feel happy",trives - trivdes - har trives
545,tro,think (believe),tror - trodde - har trodd
546,true,threaten,truer - truet - har truet
547,trykke,press; print,trykker - trykket (trykte) - har trykket (trykt) 
